Tidsstempel,Uuid,First name,Last name,Birthday,Gender,Country,Are you willing to be a team leader on your team?,Would you consider yourself a creative thinker?,Do you consider yourself knowledgable about the Bible?,"Are you physically fit and able to play in outdoor activities like outdoor games, obstacle courses, running, sport etc.?","Can you play the guitar, piano or keyboard well?",Have you been in a Christian camp before?,"Are you willing to take a speaking role in the Biblical drama? (Ex. main role, supporting role, narrator etc.)",Will you be able to create and design costumes and props for the drama?,"Are you entitled to be in the team with someone, please write their full name - Example kids needs to be with the parent/guardian or new camper wants to be with someone they know. Leave blank for no.","Please list the full names of people who should not be on your team (e.g., spouse, siblings, best friends, people I see (almost) every day). This will help us create teams that encourage meeting new people, fostering new connections, and promoting teamwork with a more diverse group. Being on a team with familiar faces can limit these opportunities."
2019-09-08 16:20:51,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Leslie,Adams,1961-06-16,Male,Western Sahara,No,Maybe,Yes,No,No,Yes,No,No,,
2014-05-22 16:26:02,a7cad415-366e-416f-908e-bad7b7c93acf,Victor,Wilkerson,1996-06-09,Female,Cambodia,No,Maybe,Yes,No,No,Yes,Yes,Yes,,
2006-09-20 11:17:23,89fa6a68-8fb5-427b-beb7-99193f22faf8,Jose,Richards,2017-02-03,Male,Iran,No,No,No,No,No,No,No,No,,
2009-03-08 09:11:41,827050a8-2369-4584-bf5e-9ff0ff50bde4,Trevor,Campos,2014-02-12,Female,Cape Verde,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2015-12-02 03:07:18,98ae4334-6c12-4ce8-ae34-0454cac5b68c,Bryan,James,2025-01-20,Female,Marshall Islands,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2006-05-18 16:32:44,02f06b90-f143-462f-9c5c-0eed8da0365b,Erin,Wilson,2016-01-14,Female,Sao Tome and Principe,No,Maybe,Yes,Yes,Yes,Yes,No,No,,
2006-10-08 11:50:52,4b22d308-1c8e-4ee9-9715-bd6fa4161293,Ryan,Chavez,2021-08-17,Male,Turkey,No,No,No,No,No,No,No,No,,
2018-04-04 19:23:09,2dbc2134-c30f-446e-8026-695ff8cda88b,William,Rodriguez,1995-01-07,Male,Tajikistan,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2016-03-17 17:24:01,5fb8d16c-2720-497d-b2eb-d6899be578c7,Kathryn,Ryan,2007-06-09,Male,Marshall Islands,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2023-04-21 01:48:45,04fc6d82-7d15-4385-92fb-e43b99546eb4,Daniel,Cox,2024-03-06,Male,Sri Lanka,"No, but I can co-lead and help the team leader",Maybe,Maybe,No,No,Yes,No,No,,
2007-10-20 12:45:02,913e4de2-e0c5-4cb8-bda9-c2a90ed42f1a,Stacey,Miller,1983-09-26,Male,Bangladesh,No,Maybe,Yes,No,No,Yes,No,No,,
2024-10-23 08:08:54,20de435d-2031-4750-840d-b9b4885f6e66,Donna,Arroyo,1957-09-29,Female,Marshall Islands,No,Maybe,Yes,No,No,Yes,Yes,Yes,,
2022-02-18 06:19:33,edcd465e-3638-4821-b6e0-7cc06c52c49f,Amber,Blair,1960-08-30,Male,Georgia,No,No,No,No,No,No,No,No,,
2010-02-14 04:47:08,702753a1-5f98-4c71-a65e-688eabf3ad39,Rachel,Hayes,1964-06-13,Male,Bahrain,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2008-07-29 19:36:02,96a402f2-3ae8-4c93-8dcd-cd03969b6662,Jeffrey,Jones,1995-06-28,Female,Denmark,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2001-09-16 13:18:32,1223b513-5496-463c-9c11-10c1080aadfb,Willie,Ramirez,1983-09-08,Female,Mauritius,No,Maybe,Yes,Yes,Yes,Yes,No,No,,
2003-05-11 01:07:35,93829b43-922f-415a-a1e3-db63ef7ddc76,Thomas,Mueller,2009-10-10,Male,Comoros,No,No,No,No,No,No,No,No,,
2002-05-24 01:19:25,6c6fa611-5ab3-4edf-ae59-5ed3a8b317fa,Robert,Shields,1948-10-03,Male,Palau,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2024-12-19 14:41:30,ba6c34ab-6712-403a-8f84-4fef1931e9ee,Matthew,Hensley,1964-07-05,Male,Comoros,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2013-08-09 09:46:56,474ebc19-2ef9-4276-ac00-6f6123e2fcb4,Steven,Baxter,1950-06-23,Female,Sri Lanka,"No, but I can co-lead and help the team leader",Maybe,Maybe,No,No,Yes,No,No,,
2021-11-07 13:20:40,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Yvette,Huff,2022-11-09,Male,Vanuatu,No,Maybe,Yes,No,No,Yes,No,No,,
2019-02-12 19:06:35,7c52fa17-680a-407a-aa93-5d623c835dc0,Timothy,Hancock,2017-06-19,Male,Chad,No,Maybe,Yes,No,No,Yes,Yes,Yes,,
2009-08-12 16:40:31,ed3049cf-43e4-48fc-a3f2-ae24fc3d3348,Kristen,Gibson,1978-08-19,Female,Saint Martin,No,No,No,No,No,No,No,No,,
2025-04-02 22:16:03,7c967f79-b7e9-4aca-a970-65e18e46d534,Eric,Phillips,2022-11-01,Female,Mozambique,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2018-08-31 14:13:43,0ea2622b-5048-47ba-bf7b-539b0f9aea4b,Brendan,Woods,2018-11-03,Female,Marshall Islands,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2003-12-29 19:48:53,d9f195d0-1482-4f53-8201-0c62f5f59b22,Jacob,Larson,1999-01-23,Female,Dominica,No,Maybe,Yes,Yes,Yes,Yes,No,No,,
2010-03-30 12:32:36,3f07f814-91d6-4f78-a3e9-de99f10c718b,Beth,Williams,1951-01-04,Female,Palestinian Territory,No,No,No,No,No,No,No,No,,
2014-10-22 12:10:46,42c18a62-ef48-48d5-90fd-9d3f85d51695,James,Moran,1963-09-14,Female,Indonesia,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2003-04-27 18:18:44,50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Sarah,Walls,1945-02-14,Male,Nigeria,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2025-05-01 00:30:19,89a2688b-12c1-46e0-9998-5f15ff002d4d,Jason,Baker,2019-12-18,Female,Turkmenistan,"No, but I can co-lead and help the team leader",Maybe,Maybe,No,No,Yes,No,No,,
2001-09-29 10:39:12,286218b8-48f4-4f12-9e99-53d23e896c64,Samuel,Daniels,1968-11-14,Male,Sri Lanka,No,Maybe,Yes,No,No,Yes,No,No,,
2016-08-03 23:14:56,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,Kevin,Alvarado,2020-06-03,Female,Burkina Faso,No,Maybe,Yes,No,No,Yes,Yes,Yes,,
2006-09-16 15:09:53,8da01097-be0f-451b-9b66-b5a9e3c43657,Eric,Campbell,1961-06-06,Male,Guam,No,No,No,No,No,No,No,No,,
2005-03-01 14:27:34,81627cf1-4394-42e6-9a58-7e8aa25d6b29,Tracy,Whitehead,2012-11-25,Female,Bermuda,"Yes, I am willing to be a team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2016-02-03 11:55:48,00e85ece-0b49-452d-86d4-83f3d450281c,Matthew,Anderson,2023-09-25,Female,Central African Republic,"No, but I can co-lead and help the team leader",Yes,Maybe,Yes,No,Yes,Maybe,No,,
2018-10-21 11:59:29,8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,Alec,Jones,2015-11-25,Female,United Kingdom,No,Maybe,Yes,Yes,Yes,Yes,No,No,,
2003-10-13 04:30:51,951f58d0-5e84-4058-95a8-04eb093923de,Angela,Jordan,1947-10-04,Female,Haiti,No,No,No,No,No,No,No,No,,
2022-10-22 06:29:39,0a368ce7-dc57-4131-b8e1-daa7cbceabde,Rachel,Clark,1964-07-31,Female,Bosnia and Herzegovina,No,Yes,Yes,Yes,No,Yes,Yes,Yes,,
2008-12-21 07:22:43,6808593f-dfed-4c43-a256-a6dc8f5486b7,Terri,Brady,2019-05-10,Female,Dominica,"No, but I can co-lead and help the team leader",Maybe,Yes,Yes,No,Yes,Yes,Yes,,
2021-12-07 17:35:06,2d534dd0-cf8e-4c5a-8cc5-6569f9e8a369,Nicole,Johnson,2004-01-12,Female,Grenada,"No, but I can co-lead and help the team leader",Maybe,Maybe,No,No,Yes,No,No,,
